neck_x,neck_y,left_foot_x,left_foot_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_foot_x,right_foot_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,Lt_ELbow_x,Lt_ELbow_y,left_hand_x,left_hand_y
-414.0,376.0,-485.0,-388.0,-546.0,-36.0,-336.0,-42.0,-512.0,-252.0,-432.0,30.0,-574.0,362.0,-416.0,-626.0,-190.0,114.0,-232.0,-40.0,-368.0,-374.0,-276.0,346.0,-642.0,186.0,-634.0,-26.0
-414.0,376.0,-475.0,-411.0,-546.0,-36.0,-342.0,-42.0,-500.0,-252.0,-434.0,22.0,-574.0,346.0,-415.0,-630.0,-190.0,114.0,-242.0,-34.0,-376.0,-374.0,-278.0,338.0,-642.0,186.0,-644.0,-26.0
-416.0,360.0,-469.0,-438.0,-548.0,-46.0,-342.0,-42.0,-500.0,-252.0,-436.0,18.0,-574.0,332.0,-415.0,-627.0,-190.0,102.0,-242.0,-34.0,-376.0,-374.0,-284.0,330.0,-642.0,186.0,-644.0,-38.0
-420.0,354.0,-460.0,-467.0,-548.0,-46.0,-348.0,-52.0,-498.0,-278.0,-440.0,14.0,-574.0,322.0,-414.0,-622.0,-196.0,100.0,-242.0,-34.0,-376.0,-374.0,-290.0,314.0,-640.0,170.0,-644.0,-38.0
-424.0,346.0,-455.0,-479.0,-550.0,-58.0,-352.0,-54.0,-486.0,-286.0,-440.0,14.0,-574.0,314.0,-412.0,-614.0,-202.0,94.0,-242.0,-48.0,-376.0,-364.0,-298.0,314.0,-628.0,160.0,-644.0,-46.0
-432.0,346.0,-455.0,-480.0,-548.0,-50.0,-362.0,-42.0,-484.0,-294.0,-440.0,14.0,-584.0,312.0,-402.0,-598.0,-208.0,98.0,-242.0,-48.0,-372.0,-350.0,-304.0,314.0,-628.0,158.0,-636.0,-46.0
-432.0,346.0,-453.0,-486.0,-546.0,-42.0,-362.0,-36.0,-488.0,-286.0,-440.0,22.0,-586.0,318.0,-399.0,-566.0,-218.0,110.0,-242.0,-42.0,-364.0,-332.0,-310.0,322.0,-628.0,158.0,-626.0,-42.0
-436.0,362.0,-451.0,-482.0,-546.0,-24.0,-362.0,-30.0,-488.0,-286.0,-442.0,46.0,-586.0,330.0,-393.0,-525.0,-232.0,128.0,-236.0,-30.0,-358.0,-308.0,-312.0,334.0,-624.0,162.0,-618.0,-32.0
-440.0,378.0,-453.0,-490.0,-546.0,-10.0,-360.0,-8.0,-488.0,-278.0,-446.0,56.0,-588.0,340.0,-393.0,-458.0,-248.0,146.0,-236.0,-10.0,-354.0,-280.0,-316.0,350.0,-624.0,170.0,-604.0,-18.0
-444.0,384.0,-453.0,-483.0,-546.0,16.0,-344.0,2.0,-484.0,-270.0,-446.0,80.0,-588.0,352.0,-391.0,-376.0,-248.0,166.0,-236.0,6.0,-352.0,-242.0,-318.0,362.0,-622.0,178.0,-600.0,-8.0
