neck_x,neck_y,right_foot_x,right_foot_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,waist_x,waist_y,left_shoulder_x,left_shoulder_y,right_elbow_x,right_elbow_y,right_hand_x,right_hand_y,right_knee_x,right_knee_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,left_hand_x,left_hand_y,left_foot_x,left_foot_y
-241.0,210.0,-314.0,-587.0,-459.0,-156.0,-280.0,-153.0,-471.0,-462.0,-391.0,-7.0,-522.0,220.0,-256.0,-17.0,-232.0,-235.0,-319.0,-357.0,-241.0,210.0,-542.0,-10.0,-589.0,-203.0,-462.0,-728.0
-230.0,210.0,-314.0,-590.0,-450.0,-145.0,-272.0,-144.0,-470.0,-449.0,-382.0,-1.0,-511.0,231.0,-250.0,-10.0,-224.0,-224.0,-319.0,-357.0,-230.0,210.0,-530.0,5.0,-588.0,-187.0,-462.0,-713.0
-219.0,224.0,-314.0,-593.0,-442.0,-124.0,-265.0,-130.0,-465.0,-432.0,-366.0,12.0,-504.0,240.0,-241.0,2.0,-212.0,-205.0,-308.0,-357.0,-219.0,224.0,-520.0,24.0,-585.0,-166.0,-466.0,-689.0
-212.0,238.0,-310.0,-593.0,-433.0,-113.0,-260.0,-118.0,-463.0,-406.0,-355.0,26.0,-479.0,260.0,-226.0,12.0,-203.0,-194.0,-308.0,-353.0,-212.0,238.0,-509.0,39.0,-577.0,-151.0,-466.0,-656.0
-195.0,246.0,-310.0,-595.0,-428.0,-102.0,-252.0,-106.0,-463.0,-380.0,-342.0,41.0,-473.0,272.0,-211.0,28.0,-196.0,-182.0,-308.0,-349.0,-195.0,246.0,-502.0,53.0,-571.0,-131.0,-457.0,-608.0
-188.0,260.0,-310.0,-595.0,-424.0,-82.0,-249.0,-93.0,-463.0,-356.0,-337.0,53.0,-461.0,288.0,-200.0,36.0,-192.0,-172.0,-302.0,-345.0,-188.0,260.0,-490.0,69.0,-566.0,-117.0,-449.0,-558.0
-186.0,265.0,-310.0,-597.0,-428.0,-72.0,-249.0,-82.0,-463.0,-329.0,-333.0,65.0,-449.0,293.0,-189.0,45.0,-180.0,-160.0,-301.0,-341.0,-186.0,265.0,-480.0,79.0,-552.0,-110.0,-445.0,-515.0
-182.0,270.0,-310.0,-597.0,-431.0,-69.0,-248.0,-77.0,-464.0,-306.0,-326.0,70.0,-444.0,300.0,-185.0,50.0,-179.0,-152.0,-302.0,-336.0,-182.0,270.0,-477.0,85.0,-552.0,-107.0,-445.0,-482.0
-179.0,274.0,-310.0,-599.0,-430.0,-64.0,-248.0,-77.0,-464.0,-296.0,-324.0,75.0,-441.0,298.0,-178.0,46.0,-175.0,-152.0,-305.0,-335.0,-179.0,274.0,-470.0,81.0,-544.0,-102.0,-445.0,-461.0
-179.0,266.0,-310.0,-599.0,-430.0,-64.0,-248.0,-77.0,-464.0,-278.0,-320.0,75.0,-438.0,300.0,-174.0,42.0,-178.0,-152.0,-308.0,-332.0,-179.0,266.0,-464.0,80.0,-542.0,-105.0,-445.0,-451.0
-171.0,272.0,-309.0,-601.0,-430.0,-64.0,-248.0,-78.0,-459.0,-272.0,-315.0,77.0,-436.0,294.0,-175.0,41.0,-183.0,-152.0,-308.0,-332.0,-171.0,272.0,-460.0,85.0,-540.0,-109.0,-437.0,-451.0
-174.0,264.0,-309.0,-601.0,-437.0,-64.0,-251.0,-82.0,-459.0,-266.0,-316.0,76.0,-434.0,300.0,-176.0,38.0,-186.0,-153.0,-308.0,-332.0,-174.0,264.0,-462.0,83.0,-537.0,-109.0,-433.0,-451.0
-176.0,256.0,-309.0,-601.0,-436.0,-67.0,-254.0,-84.0,-454.0,-264.0,-312.0,78.0,-432.0,284.0,-177.0,33.0,-194.0,-156.0,-308.0,-332.0,-176.0,256.0,-461.0,77.0,-537.0,-109.0,-425.0,-459.0
-182.0,250.0,-309.0,-601.0,-436.0,-72.0,-255.0,-90.0,-454.0,-264.0,-316.0,71.0,-438.0,276.0,-183.0,26.0,-200.0,-162.0,-308.0,-332.0,-182.0,250.0,-460.0,76.0,-540.0,-115.0,-425.0,-460.0
-186.0,247.0,-311.0,-598.0,-436.0,-76.0,-256.0,-90.0,-454.0,-268.0,-320.0,63.0,-444.0,264.0,-191.0,24.0,-206.0,-166.0,-308.0,-332.0,-186.0,247.0,-464.0,69.0,-540.0,-117.0,-426.0,-464.0
-203.0,238.0,-312.0,-596.0,-436.0,-80.0,-260.0,-94.0,-452.0,-272.0,-326.0,59.0,-450.0,260.0,-197.0,21.0,-211.0,-167.0,-312.0,-333.0,-203.0,238.0,-466.0,61.0,-542.0,-125.0,-431.0,-471.0
-214.0,232.0,-312.0,-594.0,-441.0,-79.0,-266.0,-94.0,-451.0,-283.0,-329.0,57.0,-456.0,252.0,-200.0,30.0,-213.0,-164.0,-318.0,-331.0,-214.0,232.0,-468.0,56.0,-544.0,-121.0,-431.0,-471.0
-224.0,235.0,-312.0,-580.0,-446.0,-72.0,-270.0,-92.0,-456.0,-284.0,-336.0,61.0,-466.0,251.0,-211.0,36.0,-212.0,-152.0,-320.0,-324.0,-224.0,235.0,-473.0,59.0,-544.0,-121.0,-431.0,-471.0
-227.0,243.0,-305.0,-562.0,-452.0,-60.0,-276.0,-80.0,-456.0,-284.0,-342.0,64.0,-474.0,257.0,-218.0,54.0,-211.0,-139.0,-323.0,-307.0,-227.0,243.0,-478.0,68.0,-547.0,-115.0,-431.0,-471.0
-242.0,265.0,-301.0,-547.0,-453.0,-44.0,-280.0,-64.0,-456.0,-284.0,-349.0,73.0,-484.0,268.0,-230.0,74.0,-211.0,-122.0,-324.0,-289.0,-242.0,265.0,-486.0,76.0,-551.0,-100.0,-431.0,-475.0
-251.0,274.0,-303.0,-526.0,-456.0,-36.0,-287.0,-51.0,-456.0,-284.0,-356.0,85.0,-491.0,278.0,-237.0,91.0,-211.0,-97.0,-325.0,-278.0,-251.0,274.0,-492.0,83.0,-558.0,-94.0,-431.0,-475.0
-258.0,285.0,-309.0,-495.0,-456.0,-31.0,-291.0,-40.0,-457.0,-278.0,-366.0,93.0,-495.0,286.0,-242.0,109.0,-218.0,-86.0,-327.0,-267.0,-258.0,285.0,-498.0,88.0,-565.0,-87.0,-431.0,-475.0
-264.0,296.0,-317.0,-468.0,-456.0,-18.0,-296.0,-29.0,-457.0,-278.0,-364.0,102.0,-501.0,294.0,-244.0,118.0,-219.0,-76.0,-329.0,-254.0,-264.0,296.0,-505.0,97.0,-567.0,-80.0,-432.0,-478.0
-270.0,303.0,-331.0,-429.0,-456.0,-12.0,-298.0,-22.0,-457.0,-274.0,-372.0,106.0,-504.0,303.0,-253.0,125.0,-226.0,-68.0,-330.0,-241.0,-270.0,303.0,-507.0,102.0,-570.0,-73.0,-432.0,-478.0
-275.0,312.0,-335.0,-391.0,-452.0,-8.0,-297.0,-18.0,-457.0,-274.0,-375.0,113.0,-510.0,310.0,-252.0,127.0,-233.0,-62.0,-329.0,-231.0,-275.0,312.0,-515.0,103.0,-572.0,-69.0,-431.0,-483.0
-272.0,314.0,-339.0,-367.0,-452.0,-8.0,-296.0,-10.0,-451.0,-274.0,-378.0,119.0,-509.0,312.0,-258.0,128.0,-237.0,-62.0,-328.0,-220.0,-272.0,314.0,-516.0,107.0,-572.0,-60.0,-431.0,-483.0
-276.0,315.0,-339.0,-349.0,-446.0,-4.0,-296.0,-10.0,-451.0,-274.0,-381.0,126.0,-507.0,310.0,-264.0,127.0,-242.0,-60.0,-327.0,-209.0,-276.0,315.0,-524.0,107.0,-568.0,-57.0,-429.0,-483.0
-276.0,313.0,-335.0,-342.0,-446.0,-7.0,-293.0,-10.0,-447.0,-268.0,-379.0,125.0,-508.0,312.0,-264.0,126.0,-244.0,-64.0,-323.0,-199.0,-276.0,313.0,-524.0,105.0,-562.0,-58.0,-429.0,-483.0
-271.0,305.0,-333.0,-343.0,-442.0,-11.0,-291.0,-9.0,-447.0,-268.0,-380.0,120.0,-506.0,307.0,-268.0,118.0,-246.0,-68.0,-316.0,-192.0,-271.0,305.0,-524.0,104.0,-556.0,-59.0,-429.0,-483.0
-271.0,302.0,-327.0,-351.0,-442.0,-15.0,-289.0,-8.0,-447.0,-270.0,-380.0,119.0,-505.0,304.0,-268.0,112.0,-246.0,-70.0,-314.0,-185.0,-271.0,302.0,-518.0,99.0,-550.0,-62.0,-429.0,-484.0
-267.0,295.0,-320.0,-359.0,-442.0,-15.0,-289.0,-8.0,-441.0,-273.0,-378.0,116.0,-501.0,297.0,-266.0,108.0,-246.0,-77.0,-312.0,-181.0,-267.0,295.0,-514.0,98.0,-542.0,-66.0,-429.0,-484.0
-262.0,284.0,-309.0,-364.0,-436.0,-22.0,-285.0,-15.0,-441.0,-273.0,-380.0,116.0,-490.0,292.0,-262.0,101.0,-240.0,-83.0,-312.0,-183.0,-262.0,284.0,-509.0,94.0,-537.0,-73.0,-429.0,-485.0
-259.0,274.0,-299.0,-371.0,-434.0,-26.0,-282.0,-20.0,-441.0,-273.0,-375.0,111.0,-487.0,284.0,-259.0,93.0,-236.0,-88.0,-309.0,-189.0,-259.0,274.0,-498.0,91.0,-531.0,-77.0,-429.0,-485.0
-251.0,268.0,-295.0,-377.0,-428.0,-26.0,-280.0,-24.0,-438.0,-275.0,-370.0,109.0,-476.0,278.0,-251.0,88.0,-236.0,-94.0,-307.0,-196.0,-251.0,268.0,-490.0,90.0,-525.0,-82.0,-429.0,-483.0
-244.0,262.0,-295.0,-379.0,-422.0,-26.0,-276.0,-24.0,-434.0,-272.0,-364.0,109.0,-469.0,279.0,-248.0,80.0,-228.0,-97.0,-307.0,-196.0,-244.0,262.0,-482.0,88.0,-522.0,-77.0,-426.0,-479.0
-235.0,255.0,-293.0,-374.0,-412.0,-20.0,-272.0,-22.0,-431.0,-266.0,-357.0,103.0,-452.0,276.0,-240.0,81.0,-222.0,-96.0,-303.0,-196.0,-235.0,255.0,-471.0,99.0,-514.0,-72.0,-427.0,-471.0
-222.0,262.0,-293.0,-378.0,-406.0,-8.0,-262.0,-10.0,-427.0,-248.0,-343.0,113.0,-446.0,282.0,-236.0,86.0,-216.0,-82.0,-301.0,-197.0,-222.0,262.0,-454.0,113.0,-512.0,-51.0,-429.0,-456.0
-216.0,274.0,-293.0,-378.0,-402.0,6.0,-257.0,1.0,-427.0,-231.0,-338.0,120.0,-434.0,296.0,-227.0,97.0,-210.0,-72.0,-295.0,-197.0,-216.0,274.0,-450.0,125.0,-506.0,-41.0,-429.0,-437.0
-207.0,282.0,-293.0,-378.0,-395.0,18.0,-254.0,14.0,-423.0,-219.0,-333.0,125.0,-426.0,308.0,-221.0,110.0,-206.0,-64.0,-295.0,-192.0,-207.0,282.0,-444.0,139.0,-502.0,-25.0,-433.0,-411.0
-204.0,290.0,-293.0,-378.0,-388.0,30.0,-247.0,20.0,-423.0,-206.0,-320.0,136.0,-416.0,322.0,-209.0,122.0,-200.0,-54.0,-292.0,-188.0,-204.0,290.0,-440.0,146.0,-494.0,-14.0,-423.0,-386.0
-197.0,298.0,-293.0,-378.0,-386.0,38.0,-245.0,26.0,-419.0,-196.0,-313.0,147.0,-415.0,329.0,-204.0,123.0,-194.0,-49.0,-290.0,-184.0,-197.0,298.0,-433.0,156.0,-492.0,-7.0,-421.0,-363.0
